FECHA INICIO;FECHA TERMINO;CONCEPTO;LINE;KEY Equipment;UNIDAD;CONSUMO;ID;ID Unico;ID FABRICACION
1/04/2024;7/04/2024;AGUA;UTILITIES;Otros Entretecho Cocina 2;[m3];-5;335;335.2;
1/04/2024;7/04/2024;AGUA;UTILITIES;Otros Fabrica;[m3];97,58019038;336;336.2;
1/04/2024;7/04/2024;AGUA;UTILITIES;Otros Matriz PMD;[m3];-4,454037706;337;337.2;
1/04/2024;7/04/2024;AGUA;UTILITIES;Otros Of. Producción;[m3];-12,99720323;338;338.2;
1/04/2024;7/04/2024;AGUA;UTILITIES;Otros Sala de Bombas;[m3];59,01665435;339;339.2;
1/04/2024;7/04/2024;AGUA;UTILITIES;Otros Vestidores;[m3];63,8169739;340;340.2;
1/04/2024;7/04/2024;AGUA;UTILITIES;PLANTA OSMOSIS;[m3];66,65073251;226;226.2;unitario
1/04/2024;7/04/2024;AGUA;UTILITIES;PLANTA RILES;[m3];0,04227652;227;227.2;unitario
1/04/2024;7/04/2024;AGUA;UTILITIES;Planta Riles (Salida);[m3];221,4146749;289;289.2;unitario
1/04/2024;7/04/2024;AGUA;UTILITIES;RECHAZO OSMOSIS;[m3];56,85496402;228;228.2;unitario
1/04/2024;7/04/2024;AGUA;UTILITIES;Reciclado Organico (ORCA);[m3];9;303;303.2;unitario
1/04/2024;7/04/2024;AGUA;UTILITIES;Recuperación Cabinas SMD 1;[m3];4;323;323.2;unitario
1/04/2024;7/04/2024;AGUA;UTILITIES;Recuperación Cabinas SMD 2;[m3];33;324;324.2;unitario
1/04/2024;7/04/2024;AGUA;UTILITIES;Recuperación Lluvia Norte;[m3];0;341;341.2;PRECIPITACIONES
1/04/2024;7/04/2024;AGUA;UTILITIES;Recuperación Lluvia Sur;[m3];0;342;342.2;PRECIPITACIONES
1/04/2024;7/04/2024;AGUA;UTILITIES;RETORNO CONDENSADO;[m3];5,228438779;284;284.2;VAPOR TOTAL
1/04/2024;7/04/2024;AGUA;UTILITIES;Retrolavado Osmosis Caldera;[m3];-14,35113137;343;343.2;
1/04/2024;7/04/2024;AGUA;SMD;Sala Pasteros;[m3];14,11;290;290.2;
1/04/2024;7/04/2024;AGUA;UTILITIES;Sobrecalentador Caldera;[m3];12,82337566;344;344.2;
1/04/2024;7/04/2024;AGUA;UTILITIES;Torre sulzer 1;[m3];0,19;229;229.2;TEMPERATURA
1/04/2024;7/04/2024;AGUA;UTILITIES;Torre sulzer 2;[m3];23,55;230;230.2;
1/04/2024;7/04/2024;CDD;UTILITIES;CDD;[°C];3,7;328;;
1/04/2024;7/04/2024;Delta P;UTILITIES;AN1;[mBAR];;235;;
1/04/2024;7/04/2024;Delta P;UTILITIES;AN1 SMD;[mBAR];;304;;
1/04/2024;7/04/2024;Delta P;UTILITIES;AN2;[mBAR];-41,91450353;236;;
1/04/2024;7/04/2024;Delta P;UTILITIES;AN2 SMD;[mBAR];-30,69278612;305;;
1/04/2024;7/04/2024;Delta P;UTILITIES;AN3;[mBAR];-6,23828125;237;;MCE
1/04/2024;7/04/2024;Delta P;UTILITIES;AN3 SMD;[mBAR];-111,7265957;306;;
1/04/2024;7/04/2024;Delta P;UTILITIES;AN4;[mBAR];-84,26733876;238;;MCE
1/04/2024;7/04/2024;Delta P;UTILITIES;AN4 SMD;[mBAR];-80,42691383;307;;
1/04/2024;7/04/2024;Delta P;UTILITIES;EP1;[mBAR];-12,69457721;244;;
1/04/2024;7/04/2024;Delta P;UTILITIES;EP1 G23;[mBAR];-2,258540588;308;;
1/04/2024;7/04/2024;Delta P;UTILITIES;EP2;[mBAR];;245;;
1/04/2024;7/04/2024;Delta P;UTILITIES;EP2 G61;[mBAR];-7,228610392;309;;
1/04/2024;7/04/2024;Delta P;UTILITIES;EP3;[mBAR];-15,79994681;246;;MCE1
1/04/2024;7/04/2024;Delta P;UTILITIES;EP3 G90;[mBAR];-9,840155788;310;;
1/04/2024;7/04/2024;Delta P;UTILITIES;EP4;[mBAR];-20,81183178;247;;MCE2
1/04/2024;7/04/2024;Delta P;UTILITIES;EP4 G62;[mBAR];-7,612904493;311;;
1/04/2024;7/04/2024;Delta P;UTILITIES;EP5;[mBAR];;248;;MCE3
1/04/2024;7/04/2024;Delta P;UTILITIES;EP6;[mBAR];-15,23826878;249;;
1/04/2024;7/04/2024;Delta P;UTILITIES;Vacío;[inHg];-15,6110836;260;;MCE
1/04/2024;7/04/2024;Delta P;UTILITIES;Vacío G21;[inHg];-15,06625336;312;;
1/04/2024;7/04/2024;Delta P;UTILITIES;Vacío G29;[inHg];-15,04704766;313;;
1/04/2024;7/04/2024;Delta P;UTILITIES;Vacío G88;[inHg];-14,79575993;314;;
1/04/2024;7/04/2024;Energía Eléctrica;PMD;Admoist;[kWh];131;231;231.3;HxD VENA (pre-secado)
1/04/2024;7/04/2024;Energía Eléctrica;UTILITIES;Aire Acondicionado SMD1;[kWh];51,31500555;232;232.3;HUMEDAD
1/04/2024;7/04/2024;Energía Eléctrica;UTILITIES;Aire Acondicionado SMD2;[kWh];11532;233;233.3;HUMEDAD
1/04/2024;7/04/2024;Energía Eléctrica;UTILITIES;ALMACENES;[kWh];1812,391356;234;234.3;unitario
1/04/2024;7/04/2024;Energía Eléctrica;UTILITIES;AN1;[kWh];0;235;235.3;
